DIMENSION,POWER,THREADED,@ELAPSED [s],TIME() [s]
1000,10,none,44.7,44.7
1000,10,element,19.5,19.5
1000,10,row,20.8,20.8
1000,10,column,20.4,20.4
1100,10,none,55.8,55.8
1100,10,element,25.7,25.7
1100,10,row,27.3,27.3
1100,10,column,26.3,26.3
1200,10,none,73.7,73.7
1200,10,element,33.3,33.3
1200,10,row,34.8,34.8
1200,10,column,33.8,33.8
1300,10,none,93.9,93.9
1300,10,element,41.5,41.5
1300,10,row,43.9,43.9
1300,10,column,46.0,46.0
1400,10,none,114.0,114.0
1400,10,element,52.2,52.2
1400,10,row,53.8,53.8
1400,10,column,52.5,52.5
1500,10,none,141.0,141.0
1500,10,element,65.1,65.1
1500,10,row,67.2,67.2
1500,10,column,65.1,65.1
1600,10,none,205.0,205.0
1600,10,element,80.3,80.3
1600,10,row,81.5,81.5
1600,10,column,80.3,80.3
1700,10,none,203.0,203.0
1700,10,element,93.2,93.2
1700,10,row,97.4,97.4
1700,10,column,93.5,93.5
1800,10,none,243.0,243.0
1800,10,element,113.0,113.0
1800,10,row,115.0,115.0
1800,10,column,112.0,112.0
1900,10,none,286.0,286.0
1900,10,element,132.0,132.0
1900,10,row,133.0,133.0
1900,10,column,132.0,132.0
2000,10,none,374.0,374.0
2000,10,element,154.0,154.0
2000,10,row,154.0,154.0
2000,10,column,155.0,155.0
2100,10,none,409.0,409.0
2100,10,element,194.0,194.0
2100,10,row,196.0,196.0
2100,10,column,190.0,190.0
2200,10,none,515.0,515.0
2200,10,element,210.0,210.0
2200,10,row,213.0,213.0
2200,10,column,210.0,210.0
2300,10,none,542.0,542.0
2300,10,element,246.0,246.0
2300,10,row,248.0,248.0
2300,10,column,240.0,240.0
2400,10,none,748.0,748.0
2400,10,element,278.0,278.0
2400,10,row,277.0,277.0
2400,10,column,282.0,282.0
2500,10,none,707.0,707.0
2500,10,element,312.0,312.0
2500,10,row,314.0,314.0
2500,10,column,305.0,305.0
2600,10,none,832.0,832.0
2600,10,element,345.0,345.0
2600,10,row,347.0,347.0
2600,10,column,362.0,362.0
2700,10,none,902.0,902.0
2700,10,element,401.0,401.0
2700,10,row,405.0,405.0
2700,10,column,389.0,389.0
2800,10,none,1140.0,1140.0
2800,10,element,437.0,437.0
2800,10,row,436.0,436.0
2800,10,column,440.0,440.0
2900,10,none,1140.0,1140.0
2900,10,element,489.0,489.0
2900,10,row,483.0,483.0
2900,10,column,475.0,475.0
3000,10,none,1280.0,1280.0
3000,10,element,527.0,527.0
3000,10,row,535.0,535.0
3000,10,column,570.0,570.0
3100,10,none,1400.0,1400.0
3100,10,element,610.0,610.0
3100,10,row,606.0,606.0
3100,10,column,606.0,606.0
3200,10,none,1670.0,1670.0
3200,10,element,686.0,686.0
3200,10,row,689.0,689.0
3200,10,column,690.0,690.0
3300,10,none,1710.0,1710.0
3300,10,element,729.0,729.0
3300,10,row,713.0,713.0
3300,10,column,696.0,696.0
3400,10,none,1980.0,1980.0
3400,10,element,784.0,784.0
3400,10,row,798.0,798.0
3400,10,column,771.0,771.0
3500,10,none,2120.0,2120.0
3500,10,element,930.0,930.0
3500,10,row,929.0,929.0
3500,10,column,896.0,896.0
3600,10,none,2380.0,2380.0
3600,10,element,1010.0,1010.0
3600,10,row,1030.0,1030.0
3600,10,column,959.0,959.0
3700,10,none,2530.0,2530.0
3700,10,element,1150.0,1150.0
3700,10,row,1120.0,1120.0
3700,10,column,1020.0,1020.0
3800,10,none,2890.0,2890.0
3800,10,element,1120.0,1120.0
3800,10,row,1160.0,1160.0
3800,10,column,1070.0,1070.0
3900,10,none,2980.0,2980.0
3900,10,element,1300.0,1300.0
3900,10,row,1280.0,1280.0
3900,10,column,1210.0,1210.0
4000,10,none,3330.0,3330.0
4000,10,element,1370.0,1370.0
4000,10,row,1420.0,1420.0
4000,10,column,1340.0,1340.0
