DIMENSION,POWER,THREADED,@ELAPSED [s],TIME() [s]
10,10,none,3.51e-5,3.6e-5
10,10,element,0.0643,0.0643
10,10,row,0.063,0.063
10,10,column,0.0324,0.0324
10,20,none,7.21e-5,7.3e-5
10,20,element,0.0581,0.0581
10,20,row,0.0459,0.0459
10,20,column,0.0331,0.0331
10,30,none,0.000263,0.000263
10,30,element,0.0691,0.0691
10,30,row,0.0465,0.0465
10,30,column,0.0344,0.0344
10,40,none,0.000144,0.000145
10,40,element,0.0593,0.0593
10,40,row,0.0467,0.0467
10,40,column,0.0355,0.0355
10,50,none,0.00018,0.000181
10,50,element,0.0691,0.0691
10,50,row,0.0471,0.0471
10,50,column,0.0491,0.0491
10,60,none,0.000361,0.000362
10,60,element,0.0707,0.0707
10,60,row,0.0639,0.0639
10,60,column,0.0379,0.0379
10,70,none,0.000423,0.000424
10,70,element,0.0617,0.0617
10,70,row,0.0425,0.0425
10,70,column,0.036,0.036
10,80,none,0.000536,0.000536
10,80,element,0.0599,0.0599
10,80,row,0.0472,0.0472
10,80,column,0.0526,0.0526
10,90,none,0.000619,0.00062
10,90,element,0.071,0.071
10,90,row,0.0475,0.0475
10,90,column,0.0422,0.0422
10,100,none,0.000694,0.000695
10,100,element,0.0786,0.0786
10,100,row,0.0476,0.0476
10,100,column,0.0424,0.0424
10,110,none,0.000718,0.000719
10,110,element,0.0739,0.0739
10,110,row,0.0439,0.0439
10,110,column,0.0438,0.0438
10,120,none,0.000719,0.00072
10,120,element,0.0646,0.0646
10,120,row,0.0477,0.0477
10,120,column,0.0475,0.0475
10,130,none,0.000626,0.000626
10,130,element,0.0653,0.0653
10,130,row,0.0484,0.0484
10,130,column,0.0456,0.0456
10,140,none,0.000794,0.000795
10,140,element,0.075,0.075
10,140,row,0.0486,0.0486
10,140,column,0.0601,0.0601
10,150,none,0.00103,0.00103
10,150,element,0.0926,0.0926
10,150,row,0.0485,0.0485
10,150,column,0.0484,0.0484
10,160,none,0.000865,0.000865
10,160,element,0.0884,0.0884
10,160,row,0.0485,0.0485
10,160,column,0.0483,0.0483
10,170,none,0.000902,0.000902
10,170,element,0.0907,0.0907
10,170,row,0.0487,0.0487
10,170,column,0.0497,0.0497
10,180,none,0.00113,0.00113
10,180,element,0.104,0.104
10,180,row,0.049,0.049
10,180,column,0.0505,0.0505
10,190,none,0.00131,0.00131
10,190,element,0.0739,0.0739
10,190,row,0.0511,0.0511
10,190,column,0.0519,0.0519
10,200,none,0.00118,0.00118
10,200,element,0.0688,0.0688
10,200,row,0.0491,0.0491
10,200,column,0.0543,0.0543
10,210,none,0.00119,0.00119
10,210,element,0.069,0.069
10,210,row,0.0495,0.0495
10,210,column,0.0639,0.0639
10,220,none,0.00155,0.00155
10,220,element,0.106,0.106
10,220,row,0.0493,0.0493
10,220,column,0.0776,0.0776
10,230,none,0.00143,0.00143
10,230,element,0.0701,0.0701
10,230,row,0.0666,0.0666
10,230,column,0.0646,0.0646
10,240,none,0.0015,0.0015
10,240,element,0.0988,0.0988
10,240,row,0.0494,0.0494
10,240,column,0.0656,0.0656
10,250,none,0.00162,0.00162
10,250,element,0.0687,0.0687
10,250,row,0.0665,0.0665
10,250,column,0.0644,0.0644
10,260,none,0.00156,0.00156
10,260,element,0.0728,0.0728
10,260,row,0.0501,0.0501
10,260,column,0.0649,0.0649
10,270,none,0.0016,0.0016
10,270,element,0.0726,0.0726
10,270,row,0.0657,0.0657
10,270,column,0.0703,0.0703
10,280,none,0.00163,0.00164
10,280,element,0.0829,0.0829
10,280,row,0.0507,0.0507
10,280,column,0.0699,0.0699
10,290,none,0.00171,0.00171
10,290,element,0.0739,0.0739
10,290,row,0.0505,0.0505
10,290,column,0.0715,0.0715
10,300,none,0.00174,0.00174
10,300,element,0.0735,0.0735
10,300,row,0.0511,0.0511
10,300,column,0.085,0.085
10,310,none,0.00171,0.00171
10,310,element,0.0695,0.0695
10,310,row,0.0503,0.0503
10,310,column,0.0741,0.0741
10,320,none,0.00185,0.00185
10,320,element,0.0954,0.0954
10,320,row,0.0511,0.0511
10,320,column,0.0739,0.0739
10,330,none,0.00192,0.00192
10,330,element,0.0733,0.0733
10,330,row,0.0506,0.0506
10,330,column,0.0874,0.0874
10,340,none,0.00215,0.00215
10,340,element,0.0765,0.0765
10,340,row,0.0512,0.0512
10,340,column,0.0781,0.0781
10,350,none,0.00197,0.00198
10,350,element,0.0792,0.0792
10,350,row,0.0462,0.0462
10,350,column,0.0786,0.0786
10,360,none,0.00218,0.00218
10,360,element,0.1,0.1
10,360,row,0.0518,0.0518
10,360,column,0.0812,0.0812
10,370,none,0.00226,0.00226
10,370,element,0.0922,0.0922
10,370,row,0.0514,0.0514
10,370,column,0.0778,0.0778
10,380,none,0.00232,0.00232
10,380,element,0.0803,0.0803
10,380,row,0.0498,0.0498
10,380,column,0.093,0.093
10,390,none,0.00241,0.00242
10,390,element,0.0823,0.0823
10,390,row,0.0516,0.0516
10,390,column,0.0972,0.0972
10,400,none,0.00223,0.00223
10,400,element,0.0922,0.0922
10,400,row,0.0474,0.0474
10,400,column,0.0851,0.0851
10,410,none,0.00232,0.00232
10,410,element,0.0804,0.0804
10,410,row,0.053,0.053
10,410,column,0.0843,0.0843
10,420,none,0.00241,0.00241
10,420,element,0.0922,0.0922
10,420,row,0.0527,0.0527
10,420,column,0.0866,0.0866
10,430,none,0.00244,0.00244
10,430,element,0.0821,0.0821
10,430,row,0.053,0.053
10,430,column,0.0907,0.0907
10,440,none,0.00248,0.00248
10,440,element,0.084,0.084
10,440,row,0.0524,0.0524
10,440,column,0.0929,0.0929
10,450,none,0.00273,0.00273
10,450,element,0.0839,0.0839
10,450,row,0.0531,0.0531
10,450,column,0.104,0.104
10,460,none,0.00278,0.00278
10,460,element,0.0857,0.0857
10,460,row,0.0526,0.0526
10,460,column,0.0895,0.0895
10,470,none,0.00275,0.00275
10,470,element,0.0854,0.0854
10,470,row,0.0541,0.0541
10,470,column,0.0934,0.0934
10,480,none,0.00256,0.00256
10,480,element,0.106,0.106
10,480,row,0.0537,0.0537
10,480,column,0.0938,0.0938
10,490,none,0.00284,0.00284
10,490,element,0.0953,0.0953
10,490,row,0.0552,0.0552
10,490,column,0.0946,0.0946
10,500,none,0.00292,0.00292
10,500,element,0.11,0.11
10,500,row,0.0534,0.0534
10,500,column,0.0992,0.0992
10,510,none,0.00302,0.00302
10,510,element,0.0889,0.0889
10,510,row,0.0532,0.0532
10,510,column,0.0993,0.0993
10,520,none,0.00318,0.00318
10,520,element,0.0883,0.0883
10,520,row,0.0528,0.0528
10,520,column,0.101,0.101
10,530,none,0.00313,0.00313
10,530,element,0.0908,0.0908
10,530,row,0.0705,0.0705
10,530,column,0.102,0.102
10,540,none,0.00331,0.00331
10,540,element,0.0955,0.0955
10,540,row,0.0704,0.0704
10,540,column,0.0965,0.0965
10,550,none,0.00333,0.00333
10,550,element,0.103,0.103
10,550,row,0.0554,0.0554
10,550,column,0.1,0.1
10,560,none,0.00326,0.00326
10,560,element,0.12,0.12
10,560,row,0.0539,0.0539
10,560,column,0.114,0.114
10,570,none,0.0034,0.0034
10,570,element,0.0912,0.0912
10,570,row,0.0541,0.0541
10,570,column,0.118,0.118
10,580,none,0.00348,0.00349
10,580,element,0.118,0.118
10,580,row,0.0722,0.0722
10,580,column,0.106,0.106
10,590,none,0.00358,0.00358
10,590,element,0.103,0.103
10,590,row,0.054,0.054
10,590,column,0.103,0.103
10,600,none,0.00342,0.00342
10,600,element,0.106,0.106
10,600,row,0.0557,0.0557
10,600,column,0.122,0.122
10,610,none,0.00349,0.00349
10,610,element,0.108,0.108
10,610,row,0.0561,0.0561
10,610,column,0.11,0.11
10,620,none,0.00364,0.00364
10,620,element,0.102,0.102
10,620,row,0.058,0.058
10,620,column,0.112,0.112
10,630,none,0.00363,0.00363
10,630,element,0.0987,0.0987
10,630,row,0.0559,0.0559
10,630,column,0.117,0.117
10,640,none,0.00381,0.00381
10,640,element,0.105,0.105
10,640,row,0.0549,0.0549
10,640,column,0.112,0.112
10,650,none,0.00398,0.00398
10,650,element,0.12,0.12
10,650,row,0.0572,0.0572
10,650,column,0.126,0.126
10,660,none,0.00371,0.00371
10,660,element,0.12,0.12
10,660,row,0.0849,0.0849
10,660,column,0.113,0.113
10,670,none,0.00392,0.00392
10,670,element,0.101,0.101
10,670,row,0.0683,0.0683
10,670,column,0.0993,0.0993
10,680,none,0.00397,0.00397
10,680,element,0.0991,0.0991
10,680,row,0.0674,0.0674
10,680,column,0.1,0.1
10,690,none,0.00401,0.00401
10,690,element,0.099,0.099
10,690,row,0.0676,0.0676
10,690,column,0.109,0.109
10,700,none,0.00402,0.00402
10,700,element,0.119,0.119
10,700,row,0.0884,0.0884
10,700,column,0.124,0.124
10,710,none,0.0043,0.0043
10,710,element,0.103,0.103
10,710,row,0.0691,0.0691
10,710,column,0.111,0.111
10,720,none,0.00408,0.00408
10,720,element,0.101,0.101
10,720,row,0.0858,0.0858
10,720,column,0.124,0.124
10,730,none,0.00428,0.00428
10,730,element,0.102,0.102
10,730,row,0.0695,0.0695
10,730,column,0.113,0.113
10,740,none,0.0043,0.0043
10,740,element,0.102,0.102
10,740,row,0.0687,0.0687
10,740,column,0.111,0.111
10,750,none,0.00437,0.00437
10,750,element,0.117,0.117
